2,Алматы облысы,6,Алматы облысы - Білім басқармасы,1014,№7 мектеп-лицей (Алматы облысы),5223,9 Б,8,Биология,1,10,7,10,70,100
3,Түркістан облысы,7,Түркістан облысы - Қалалық бөлім,1016,№10 орта мектеп (Түркістан облысы),5250,7 А,6,Физика,1,11,8,10,72.73,90.91
3,Түркістан облысы,7,Түркістан облысы - Қалалық бөлім,1016,№10 орта мектеп (Түркістан облысы),5249,6 В,3,Русский язык,2,13,9,11,69.23,84.62
1,Астана қ.,1,Астана қ. - Қалалық бөлім,1002,№2 жалпы білім беретін мектеп (Астана қ.),5030,10 А,8,Биология,1,9,7,9,77.78,100
3,Түркістан облысы,8,Түркістан облысы - Аудандық бөлім,1019,№5 лицей (Түркістан облысы),5294,6 Б,7,Химия,2,7,4,6,57.14,85.71
2,Алматы облысы,5,Алматы облысы - Аудандық бөлім,1012,№7 мектеп-лицей (Алматы облысы),5179,5 Б,6,Физика,4,9,6,9,66.67,100
1,Астана қ.,1,Астана қ. - Қалалық бөлім,1001,№2 жалпы білім беретін мектеп (Астана қ.),5009,8 Б,2,Қазақ тілі,2,5,4,5,80,100
2,Алматы облысы,6,Алматы облысы - Білім басқармасы,1013,№7 мектеп-лицей (Алматы облысы),5202,8 А,2,Қазақ тілі,1,11,6,9,54.55,81.82
3,Түркістан облысы,9,Түркістан облысы - Білім басқармасы,1021,№7 мектеп-лицей (Түркістан облысы),5337,11 А,2,Қазақ тілі,4,7,5,6,71.43,85.71
3,Түркістан облысы,7,Түркістан облысы - Қалалық бөлім,1016,№10 орта мектеп (Түркістан облысы),5256,9 Б,1,Математика,3,12,8,10,66.67,83.33
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),5364,8 Б,3,Русский язык,3,4,4,4,100,100
4,Қарағанды облысы,12,Қарағанды облысы - Білім басқармасы,1026,№2 жалпы білім беретін мектеп (Қарағанды облысы),5407,5 А,6,Физика,1,15,12,14,80,93.33
1,Астана қ.,2,Астана қ. - Аудандық бөлім,1006,№1 мектеп-гимназия (Астана қ.),5094,9 Б,3,Русский язык,3,9,7,8,77.78,88.89
3,Түркістан облысы,7,Түркістан облысы - Қалалық бөлім,1017,№15 гимназия (Түркістан облысы),5264,6 Б,2,Қазақ тілі,3,7,2,6,28.57,85.71
2,Алматы облысы,4,Алматы облысы - Қалалық бөлім,1010,№7 мектеп-лицей (Алматы облысы),5153,7 Б,3,Русский язык,3,4,2,3,50,75
1,Астана қ.,1,Астана қ. - Қалалық бөлім,1003,№1 мектеп-гимназия (Астана қ.),5037,5 Б,9,Информатика,2,9,8,9,88.89,100
2,Алматы облысы,6,Алматы облысы - Білім басқармасы,1014,№7 мектеп-лицей (Алматы облысы),5226,11 А,1,Математика,3,9,3,7,33.33,77.78
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1022,№5 лицей (Қарағанды облысы),5348,8 Б,5,История Казахстана,3,9,7,7,77.78,77.78
1,Астана қ.,2,Астана қ. - Аудандық бөлім,1004,№10 орта мектеп (Астана қ.),5054,6 Б,6,Физика,4,7,4,6,57.14,85.71
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1022,№5 лицей (Қарағанды облысы),5343,6 Б,4,Английский язык,2,4,2,4,50,100
1,Астана қ.,2,Астана қ. - Аудандық бөлім,1006,№1 мектеп-гимназия (Астана қ.),5084,5 В,9,Информатика,3,9,6,9,66.67,100
1,Астана қ.,1,Астана қ. - Қалалық бөлім,1002,№2 жалпы білім беретін мектеп (Астана қ.),5029,9 Б,8,Биология,2,9,7,8,77.78,88.89
4,Қарағанды облысы,11,Қарағанды облысы - Аудандық бөлім,1025,№7 мектеп-лицей (Қарағанды облысы),5401,9 В,5,История Казахстана,4,7,5,6,71.43,85.71
3,Түркістан облысы,9,Түркістан облысы - Білім басқармасы,1021,№7 мектеп-лицей (Түркістан облысы),5337,11 А,9,Информатика,2,9,8,9,88.89,100
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),5366,9 Б,4,Английский язык,4,5,1,3,20,60
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),5371,11 Б,6,Физика,3,8,7,8,87.5,100
3,Түркістан облысы,9,Түркістан облысы - Білім басқармасы,1020,№30 жалпы орта мектеп (Түркістан облысы),5320,10 В,5,История Казахстана,2,14,8,13,57.14,92.86
3,Түркістан облысы,7,Түркістан облысы - Қалалық бөлім,1016,№10 орта мектеп (Түркістан облысы),5254,8 Б,1,Математика,4,6,5,6,83.33,100
4,Қарағанды облысы,12,Қарағанды облысы - Білім басқармасы,1027,№30 жалпы орта мектеп (Қарағанды облысы),5425,6 Б,5,История Казахстана,3,7,5,6,71.43,85.71
3,Түркістан облысы,9,Түркістан облысы - Білім басқармасы,1021,№7 мектеп-лицей (Түркістан облысы),5332,8 Б,7,Химия,3,4,2,4,50,100
1,Астана қ.,2,Астана қ. - Аудандық бөлім,1004,№10 орта мектеп (Астана қ.),5061,10 А,7,Химия,3,7,5,6,71.43,85.71
2,Алматы облысы,5,Алматы облысы - Аудандық бөлім,1012,№7 мектеп-лицей (Алматы облысы),5187,8 В,7,Химия,2,7,6,7,85.71,100
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),5370,11 А,9,Информатика,1,7,5,7,71.43,100
1,Астана қ.,3,Астана қ. - Білім басқармасы,1007,№15 гимназия (Астана қ.),5104,6 Б,6,Физика,2,9,5,9,55.56,100
1,Астана қ.,3,Астана қ. - Білім басқармасы,1008,№7 мектеп-лицей (Астана қ.),5120,6 Б,8,Биология,4,3,0,3,0,100
1,Астана қ.,2,Астана қ. - Аудандық бөлім,1005,№15 гимназия (Астана қ.),5078,10 Б,2,Қазақ тілі,4,4,1,2,25,50
3,Түркістан облысы,9,Түркістан облысы - Білім басқармасы,1021,№7 мектеп-лицей (Түркістан облысы),5331,8 А,2,Қазақ тілі,2,18,12,14,66.67,77.78
1,Астана қ.,1,Астана қ. - Қалалық бөлім,1001,№2 жалпы білім беретін мектеп (Астана қ.),5003,6 А,8,Биология,2,13,8,10,61.54,76.92
4,Қарағанды облысы,12,Қарағанды облысы - Білім басқармасы,1027,№30 жалпы орта мектеп (Қарағанды облысы),5430,8 Б,1,Математика,3,8,6,8,75,100
2,Алматы облысы,6,Алматы облысы - Білім басқармасы,1014,№7 мектеп-лицей (Алматы облысы),5227,11 Б,4,Английский язык,1,18,14,18,77.78,100
4,Қарағанды облысы,10,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),5357,5 Б,9,Информатика,4,6,5,6,83.33,100
